Spectra #,Intensity_G,Shift_G,Intensity_D,Shift_D,Intensity_2D,Shift_2D,Intensity Ratio_2_1,Intensity Ratio_3_1
0,0.9306471478270519,1573.0,0.05406045499666519,1292.0,0.15963631124380812,2581.0,0.05808909974407571,0.1715325852730968
1,0.9536142545571269,1578.0,0.051766203690735244,1296.0,0.18313889511563672,2583.0,0.054284217589402814,0.19204714510133788
2,0.9576814427421355,1575.0,0.04548633806881457,1290.0,0.16740080256169412,2573.0,0.04749631353258057,0.1747980018098443
3,0.9583243462083346,1575.0,0.04554548626437574,1299.0,0.1769457015892534,2575.0,0.04752617049183721,0.18464072449932975
4,0.9528951058726421,1574.0,0.05117583263131242,1297.0,0.16855447423379874,2575.0,0.053705630678464476,0.17688670368333978
5,0.9500009027446331,1575.0,0.06153125553991967,1294.0,0.16301843828167065,2576.0,0.06476968112572384,0.17159819302349774
6,0.9537985388709419,1575.0,0.05597993431795713,1296.0,0.1737999658221975,2570.0,0.058691570637362606,0.18221873775140507
7,0.9436696717854255,1574.0,0.061665774562296743,1298.0,0.17092727369783325,2565.0,0.06534678013507092,0.18113040909160344
8,0.9589706582172952,1582.0,0.06752976607506202,1299.0,0.18386891784110765,2579.0,0.07041901177727203,0.19173570772531853
9,0.9812807067103503,1590.0,0.0968827817980482,1303.0,0.15358576302238608,2594.0,0.09873095551102647,0.15651562490947943
10,0.9564101502687838,1576.0,0.05566872134484806,1294.0,0.17983783242308088,2574.0,0.05820590813387253,0.18803421562657016
11,0.9354645913775962,1575.0,0.04332944835504872,1291.0,0.18567821712788896,2574.0,0.04631864076355935,0.19848770208870553
12,0.9558643285090396,1579.0,0.061882059614334545,1298.0,0.17854683853889172,2581.0,0.06473937542042017,0.18679098404832167
13,0.9600897848348169,1581.0,0.07315134129474388,1299.0,0.15997461095209634,2577.0,0.07619218790806064,0.16662463602778557
14,0.9575758637182878,1576.0,0.041704681881617967,1292.0,0.18151809705431818,2575.0,0.0435523528336207,0.1895600170512647
15,0.959370520328911,1578.0,0.04879498858425786,1294.0,0.1929365514685143,2576.0,0.050861463376557545,0.2011074422032145
16,0.9546542297609241,1578.0,0.05580308786565999,1298.0,0.19237607300184958,2578.0,0.05845371667146425,0.2015138748717708
17,0.9596164540933002,1579.0,0.05469423328564514,1298.0,0.19104747238970426,2578.0,0.056995931085116025,0.19908732449801175
18,0.955427058678651,1580.0,0.053510185298197475,1298.0,0.19549429595692025,2581.0,0.05600656252315241,0.2046145691407228
