Spectra #,Intensity_G,Shift_G,Intensity_D,Shift_D,Intensity_2D,Shift_2D,Intensity_RBM,Shift_RBM,Intensity Ratio_2_1,Intensity Ratio_3_1
0,0.9597154128490445,1586.0,0.07302065277199817,1299.0,0.16351355268969028,2591.0,[0.05039384 0.07676414 0.05041273],[256. 282. 306.],0.07608573520271653,0.170377124823158
1,0.9474005696255349,1578.0,0.04806090832467525,1296.0,0.18901264674452603,2582.0,[0.05969485 0.05155284 0.06064171 0.06770762 0.06538126],[213. 241. 252. 281. 304.],0.050729237310540756,0.1995065791645389
2,0.9626605448662311,1582.0,0.061674091006271956,1300.0,0.1617214044176723,2581.0,[0.04324684 0.05521299 0.0543439  0.04836746],[255. 282. 306. 333.],0.06406629142034904,0.16799421694398486
3,0.95195887489906,1585.0,0.07413067563029671,1299.0,0.15824636857137633,2584.0,[0.05712123 0.07517942 0.06098081 0.05591775],[255. 282. 306. 333.],0.07787172070658734,0.16623235808180878
4,0.9471111579004893,1583.0,0.07653611991693693,1301.0,0.16658632432553444,2584.0,[0.05071274 0.05380965 0.06992857 0.06160441 0.05259253],[215. 254. 281. 305. 333.],0.08081007100222379,0.17588888372386516
5,0.9624490214516178,1581.0,0.055825094722862546,1297.0,0.15945053827840222,2585.0,[0.0415445  0.05511229 0.0530556  0.04249145],[255. 281. 305. 333.],0.05800317053537455,0.16567167166725388
6,0.9592294283155219,1583.0,0.06675364660355676,1298.0,0.14975902389231485,2588.0,[0.04501936 0.06156215 0.0538053  0.04893529],[254. 281. 306. 333.],0.0695909076942949,0.1561243008935858
7,0.960149671717783,1583.0,0.0651488580989121,1296.0,0.15014817503496175,2588.0,[0.04636256 0.06060817 0.0519158  0.04771625],[255. 281. 306. 333.],0.06785281505367355,0.1563799681005305
8,0.9549145967716586,1583.0,0.07563076254290321,1297.0,0.149411294987661,2583.0,[0.04854092 0.06384003 0.05713914 0.05111996],[255. 282. 306. 333.],0.07920159854985254,0.15646561011087842
9,0.961910450006516,1581.0,0.05354984203662123,1297.0,0.14826085732071162,2584.0,[0.05672407 0.05737278 0.04728992],[281. 305. 332.],0.05567029866060659,0.15413166300429246
10,0.9630779628681925,1582.0,0.06118411894422598,1298.0,0.14562392087642034,2585.0,[0.04378808 0.05745929 0.05325544 0.04786589],[254. 281. 306. 333.],0.06352976737419096,0.15120678334569113
11,0.9534088281956512,1583.0,0.0692282958419883,1299.0,0.1466384234266347,2580.0,[0.05170168 0.06840161 0.06189638 0.05197242],[254. 281. 305. 332.],0.0726113434181268,0.15380434823972775
12,0.9652954574852528,1584.0,0.06538383216528865,1298.0,0.15683271396132847,2585.0,[0.04096323 0.05949159 0.04847324 0.04248993],[254. 281. 306. 334.],0.06773452797097364,0.16247120272367435
13,0.9459018082466606,1580.0,0.06571816139028615,1297.0,0.16139269136339596,2578.0,[0.05709658 0.06411553 0.07206344 0.05833313],[214. 281. 305. 332.],0.06947672667219279,0.17062309211836285
14,0.9551879198075568,1582.0,0.04987433717855556,1293.0,0.17360782904994457,2581.0,[0.05418662 0.07059422 0.06460304],[254. 282. 305.],0.05221416241173132,0.1817525383747751
15,0.9608346558097002,1574.0,0.04869181826776259,1298.0,0.1897289657548426,2576.0,[0.05170513 0.0490206  0.06070427 0.05887273],[212. 253. 279. 304.],0.050676584127505,0.19746265874949842
16,0.9533521814915938,1588.0,0.08635653902359827,1301.0,0.1547897031034901,2591.0,[0.05545362 0.09195007 0.05890371],[256. 283. 308.],0.09058199131457037,0.16236361137948993
17,0.9255427324723606,1584.0,0.09328125531312371,1301.0,0.17025691170266755,2578.0,[0.09048177 0.08745638 0.08253188],[281. 304. 332.],0.1007854656952961,0.18395359363674968
18,0.9499935785799337,1584.0,0.08385881125693478,1302.0,0.15652908997631967,2590.0,[0.05645905 0.07854764 0.06159944 0.0550702 ],[257. 283. 307. 333.],0.08827302957382968,0.16476857686796365
19,0.9719356214959557,1586.0,0.060779417555949095,1300.0,0.15395103857647227,2590.0,[0.03938886 0.06066723 0.04179334],[256. 282. 307.],0.06253440681842733,0.1583963332257731
